date,temp_max,temp_min,temp_mean,precipitation_total,rain_total,snow_total,precipitation_hours,wind_speed_max,wind_gust_max,weather_code,sunshine_duration,daylight_duration
2018-10-07,26.5,19.3,22.3,0.1,0.1,0.0,1.0,16.1,29.9,51,10800.0,41368.22
2018-10-08,19.8,17.7,18.8,0.8,0.8,0.0,5.0,17.8,34.2,51,0.0,41209.36
2018-10-09,25.0,19.2,21.6,0.5,0.5,0.0,5.0,15.3,29.2,51,20834.79,41051.43
2018-10-10,25.5,20.5,22.2,0.6,0.6,0.0,6.0,16.9,32.4,51,27016.84,40894.55
2018-10-11,25.1,20.8,22.4,14.1,14.1,0.0,15.0,30.3,55.8,61,5102.43,40738.38
2018-10-12,21.0,10.8,15.2,6.5,6.5,0.0,5.0,32.9,60.8,63,32103.53,40581.84
2018-10-13,13.6,8.6,10.8,3.8,3.8,0.0,8.0,21.7,41.8,53,11341.76,40424.94
2018-10-14,14.6,6.8,10.9,0.0,0.0,0.0,0.0,14.6,29.5,3,23733.44,40267.82
2018-10-15,20.0,9.5,15.8,5.3,5.3,0.0,12.0,27.2,55.1,61,1142.64,40110.58
2018-10-16,15.9,8.1,11.1,0.5,0.5,0.0,2.0,29.0,52.2,51,33615.7,39953.36
2018-10-17,16.3,7.6,11.2,0.0,0.0,0.0,0.0,30.4,56.2,3,35979.66,39796.27
2018-10-18,9.6,4.7,7.0,0.0,0.0,0.0,0.0,23.6,46.1,1,36329.9,39639.44
2018-10-19,14.6,4.2,9.6,0.3,0.3,0.0,1.0,20.5,39.2,51,34590.27,39482.98
2018-10-20,17.1,9.1,13.1,6.1,6.1,0.0,7.0,23.1,47.5,63,27650.76,39327.03
2018-10-21,9.2,3.8,7.0,0.3,0.3,0.0,2.0,33.1,63.0,51,27771.21,39171.71
2018-10-22,10.6,3.5,7.2,0.0,0.0,0.0,0.0,17.1,35.3,3,31360.17,39017.16
2018-10-23,16.7,7.1,11.3,0.1,0.1,0.0,1.0,18.7,38.5,51,32036.72,38863.5
2018-10-24,13.1,6.1,9.0,0.0,0.0,0.0,0.0,30.3,56.9,3,34822.13,38710.88
2018-10-25,10.4,3.9,6.6,0.0,0.0,0.0,0.0,19.6,39.2,3,34795.7,38559.43
2018-10-26,10.1,2.5,6.5,0.2,0.2,0.0,1.0,18.0,32.8,51,32794.06,38409.29
2018-10-27,11.5,6.5,9.0,40.5,40.5,0.0,24.0,36.4,72.0,63,0.0,38260.59
2018-10-28,11.6,6.8,9.3,1.3,1.3,0.0,5.0,17.2,39.2,53,16467.77,38113.5
2018-10-29,13.6,7.2,10.4,2.0,2.0,0.0,7.0,23.3,44.3,53,29238.26,37968.17
2018-10-30,12.4,4.2,7.7,0.0,0.0,0.0,0.0,20.7,41.0,0,34033.08,37824.72
2018-10-31,17.0,4.4,11.2,0.0,0.0,0.0,0.0,22.5,43.2,3,32941.03,37682.86
2018-11-01,20.0,11.0,15.6,0.1,0.1,0.0,1.0,23.2,41.4,51,30837.66,37541.34
2018-11-02,20.9,17.2,19.1,10.1,10.1,0.0,19.0,29.4,62.6,61,0.0,37400.25
2018-11-03,18.5,7.3,13.3,8.1,8.1,0.0,7.0,33.8,79.9,61,22803.61,37259.71
2018-11-04,11.8,4.7,7.8,0.0,0.0,0.0,0.0,11.3,20.5,3,33370.03,37119.88
2018-11-05,11.4,7.1,9.8,6.2,6.2,0.0,12.0,22.0,40.3,61,0.0,36980.89
2018-11-06,16.6,9.4,12.2,13.6,13.6,0.0,10.0,25.8,76.0,63,0.0,36842.9
2018-11-07,16.8,8.2,12.8,0.0,0.0,0.0,0.0,23.1,43.9,3,32248.07,36706.06
2018-11-08,12.2,5.2,8.8,0.0,0.0,0.0,0.0,18.2,32.0,3,30385.53,36570.53
2018-11-09,10.4,4.0,7.5,14.9,14.9,0.0,9.0,24.3,47.2,63,5898.37,36436.46
2018-11-10,9.6,1.1,5.8,0.7,0.7,0.0,4.0,33.4,63.0,51,32483.88,36304.03
2018-11-11,7.6,0.1,3.2,0.0,0.0,0.0,0.0,17.4,36.4,0,32247.95,36173.38
2018-11-12,8.8,0.2,4.7,1.1,1.1,0.0,2.0,12.6,26.3,55,28714.71,36044.69
2018-11-13,10.3,5.7,7.8,18.5,18.5,0.0,12.0,25.3,50.8,63,0.0,35918.14
2018-11-14,5.2,-0.2,2.4,0.0,0.0,0.0,0.0,26.2,51.5,3,31707.88,35793.89
2018-11-15,3.9,-1.5,0.7,22.6,6.4,11.34,11.0,35.0,61.9,75,0.0,35672.12
2018-11-16,6.2,1.8,4.1,9.6,7.5,1.47,10.0,39.1,82.8,75,28800.0,35553.02
2018-11-17,8.7,0.8,4.4,0.0,0.0,0.0,0.0,20.2,42.1,3,30982.55,35436.78
2018-11-18,5.6,1.1,3.8,0.4,0.2,0.14,2.0,11.3,22.0,71,9379.0,35323.56
2018-11-19,11.6,2.7,6.5,0.0,0.0,0.0,0.0,9.5,19.1,3,20971.63,35213.56
2018-11-20,8.1,2.2,5.4,0.5,0.5,0.0,1.0,22.7,42.5,53,21543.86,35106.54
2018-11-21,7.3,-3.0,2.8,0.2,0.2,0.0,2.0,28.5,55.8,51,31189.29,35001.36
2018-11-22,-3.2,-7.7,-5.4,0.0,0.0,0.0,0.0,27.8,53.3,3,31141.97,34898.11
2018-11-23,-0.8,-8.4,-4.5,0.0,0.0,0.0,0.0,16.9,34.2,3,31044.16,34796.89
2018-11-24,7.9,-2.6,3.2,16.1,16.1,0.0,7.0,20.9,40.3,63,11437.53,34697.86
2018-11-25,12.2,4.2,7.9,22.8,22.8,0.0,6.0,33.4,59.8,65,25200.0,34601.13
2018-11-26,10.8,3.7,7.4,30.2,30.2,0.0,16.0,35.3,63.7,65,477.6,34506.86
2018-11-27,7.0,3.0,4.9,1.8,1.8,0.0,4.0,32.5,61.2,53,12559.81,34415.18
2018-11-28,5.2,2.0,3.5,0.0,0.0,0.0,0.0,36.6,68.8,3,17004.59,34326.23
2018-11-29,6.4,1.8,4.3,0.0,0.0,0.0,0.0,31.4,59.8,3,29901.48,34240.14
2018-11-30,4.8,-0.1,2.8,1.3,1.0,0.21,3.0,9.4,31.7,71,9364.26,34157.08
2018-12-01,6.3,-1.0,3.3,3.0,3.0,0.0,6.0,12.6,22.0,53,26881.31,34077.17
2018-12-02,14.6,5.2,10.6,16.6,16.6,0.0,21.0,18.0,35.3,63,0.0,34000.57
2018-12-03,12.8,6.2,10.1,0.0,0.0,0.0,0.0,26.3,48.6,3,26693.77,33927.42
2018-12-04,6.2,-2.0,2.0,0.0,0.0,0.0,0.0,23.0,44.6,3,29895.79,33857.86
2018-12-05,2.2,-3.8,-1.1,0.0,0.0,0.0,0.0,13.6,28.1,3,20367.7,33792.06
2018-12-06,4.2,-3.0,0.7,0.0,0.0,0.0,0.0,21.4,41.0,3,25925.27,33730.13
2018-12-07,2.7,-4.2,0.2,0.0,0.0,0.0,0.0,21.9,43.9,1,29926.36,33672.25
2018-12-08,1.9,-4.9,-1.8,0.0,0.0,0.0,0.0,19.8,39.2,3,19941.12,33618.54
2018-12-09,1.6,-4.4,-1.4,0.0,0.0,0.0,0.0,12.3,27.4,3,20439.16,33569.16
2018-12-10,3.8,-3.5,-0.7,0.0,0.0,0.0,0.0,17.2,36.0,3,29698.45,33524.03
2018-12-11,3.7,-3.9,-0.7,0.0,0.0,0.0,0.0,18.7,33.8,1,29673.37,33482.58
2018-12-12,5.1,-2.0,1.1,0.0,0.0,0.0,0.0,17.1,34.9,3,24647.14,33444.81
2018-12-13,3.8,-0.9,1.6,0.9,0.5,0.28,6.0,19.8,37.1,71,6975.15,33410.76
2018-12-14,9.9,2.8,6.3,1.4,1.4,0.0,5.0,15.5,29.9,51,6838.5,33380.45
2018-12-15,9.6,5.9,7.6,4.7,4.7,0.0,11.0,25.3,43.2,53,0.0,33353.91
2018-12-16,6.7,1.6,3.9,23.1,21.7,0.98,22.0,28.0,51.1,73,0.0,33331.19
2018-12-17,7.6,1.8,4.1,0.6,0.6,0.0,3.0,29.3,52.9,51,18524.88,33312.29
2018-12-18,2.3,-3.3,-0.4,0.0,0.0,0.0,0.0,29.8,53.6,3,29200.12,33297.25
2018-12-19,4.7,-4.6,-0.6,0.0,0.0,0.0,0.0,13.8,26.6,3,29139.29,33286.09
2018-12-20,10.6,-2.4,3.4,7.7,7.7,0.0,9.0,18.5,31.3,61,21520.87,33278.84
2018-12-21,14.6,10.0,12.4,43.6,43.6,0.0,16.0,38.6,82.8,65,0.0,33275.5
2018-12-22,9.9,3.9,6.5,3.3,3.3,0.0,3.0,31.1,60.5,61,18855.64,33276.11
2018-12-23,5.8,-0.2,2.7,0.0,0.0,0.0,0.0,22.9,45.0,3,28909.64,33280.67
2018-12-24,6.8,0.6,2.9,2.6,0.7,1.33,11.0,19.3,36.7,73,18146.82,33289.2
2018-12-25,4.7,-1.4,1.2,0.0,0.0,0.0,0.0,18.6,38.9,3,25764.34,33301.71
2018-12-26,5.8,-2.5,1.0,0.0,0.0,0.0,0.0,18.0,34.2,3,16403.13,33318.21
2018-12-27,4.1,0.1,1.9,0.0,0.0,0.0,0.0,16.0,28.4,3,28955.64,33338.71
2018-12-28,13.4,4.9,10.2,28.5,28.5,0.0,20.0,27.7,62.3,63,0.0,33363.21
2018-12-29,12.4,1.9,8.2,0.1,0.1,0.0,1.0,25.8,49.0,51,28989.88,33391.73
2018-12-30,5.2,-0.6,1.7,0.3,0.0,0.21,2.0,13.1,24.1,71,12333.29,33424.39
2018-12-31,7.9,-1.1,3.4,22.1,22.1,0.0,10.0,24.5,43.6,63,5883.96,33461.48
2019-01-01,14.2,3.2,9.4,3.1,3.1,0.0,3.0,38.0,67.7,61,18452.99,33502.93
2019-01-02,3.7,-0.6,1.9,0.0,0.0,0.0,0.0,15.8,28.4,3,19357.07,33548.61
2019-01-03,7.1,0.3,4.2,0.0,0.0,0.0,0.0,24.2,47.2,3,22127.57,33598.4
2019-01-04,8.0,-1.4,2.8,0.0,0.0,0.0,0.0,19.6,37.8,3,24464.69,33652.18
2019-01-05,6.7,3.0,5.4,20.6,20.6,0.0,18.0,22.7,42.1,63,0.0,33709.84
2019-01-06,8.6,-1.0,3.8,0.2,0.2,0.0,1.0,30.0,56.9,51,28503.95,33771.23
2019-01-07,0.2,-5.3,-2.1,0.2,0.1,0.07,2.0,17.2,32.4,71,23996.83,33836.26
2019-01-08,8.2,0.4,4.3,0.2,0.2,0.0,2.0,13.4,33.8,51,10552.66,33904.79
2019-01-09,7.1,0.3,4.4,3.6,3.6,0.0,4.0,34.6,65.2,61,25488.23,33976.69
2019-01-10,0.8,-2.1,-0.4,0.0,0.0,0.0,0.0,36.7,68.4,3,20963.05,34051.85
2019-01-11,-1.4,-5.9,-3.9,0.0,0.0,0.0,0.0,26.3,51.5,3,29951.96,34130.14
2019-01-12,2.3,-6.4,-2.8,0.0,0.0,0.0,0.0,10.6,20.9,3,29357.16,34211.44
2019-01-13,0.3,-4.1,-2.5,0.8,0.0,0.56,6.0,17.3,32.8,71,25903.73,34295.64
2019-01-14,1.1,-6.4,-3.7,0.0,0.0,0.0,0.0,20.3,37.1,3,30076.59,34382.6
2019-01-15,3.5,-4.8,-1.9,0.0,0.0,0.0,0.0,9.5,23.4,3,29494.34,34472.21
2019-01-16,4.6,-4.1,-0.2,0.0,0.0,0.0,0.0,22.4,43.9,3,30002.61,34564.36
2019-01-17,-0.2,-5.5,-2.6,0.3,0.0,0.21,1.0,18.2,33.1,73,22266.33,34658.92
2019-01-18,3.6,-2.2,0.3,1.4,0.0,0.98,8.0,12.3,21.6,73,13850.21,34755.77
2019-01-19,3.2,-3.7,-0.1,5.3,0.6,3.29,4.0,19.7,35.3,75,14658.24,34855.22
2019-01-20,8.8,-11.5,-0.7,29.6,27.3,1.61,13.0,31.3,61.2,75,6425.02,34958.25
2019-01-21,-11.9,-15.8,-13.4,0.0,0.0,0.0,0.0,33.3,62.6,3,30776.06,35064.75
2019-01-22,-2.2,-12.1,-7.3,0.0,0.0,0.0,0.0,19.5,36.0,3,30510.7,35174.51
2019-01-23,7.7,-3.5,1.8,0.1,0.1,0.0,1.0,22.9,40.7,51,11909.11,35287.37
2019-01-24,12.6,0.1,8.4,34.4,34.4,0.0,18.0,42.9,92.2,63,0.0,35403.12
2019-01-25,2.8,-3.8,-1.0,0.0,0.0,0.0,0.0,31.6,59.0,3,26179.88,35521.59
2019-01-26,1.0,-6.3,-2.9,0.0,0.0,0.0,0.0,13.0,29.5,3,31924.3,35642.61
2019-01-27,9.6,-2.7,3.0,0.0,0.0,0.0,0.0,28.8,55.4,3,28750.15,35765.98
2019-01-28,1.3,-5.8,-2.8,0.0,0.0,0.0,0.0,18.9,34.6,3,31577.17,35891.54
2019-01-29,4.3,-5.8,-0.2,5.7,5.1,0.42,12.0,22.8,40.3,73,0.0,36019.12
2019-01-30,0.3,-14.8,-6.6,0.4,0.0,0.28,3.0,38.4,71.6,71,26884.57,36148.55
2019-01-31,-8.4,-16.6,-12.5,0.0,0.0,0.0,0.0,21.3,44.6,0,32793.02,36279.68
2019-02-01,-4.8,-12.1,-8.8,0.0,0.0,0.0,0.0,13.2,24.1,3,27911.26,36412.32
2019-02-02,2.5,-9.9,-4.2,0.0,0.0,0.0,0.0,22.8,43.9,3,32403.46,36546.34
2019-02-03,10.0,-3.5,1.9,0.0,0.0,0.0,0.0,16.6,32.4,2,33226.9,36681.56
2019-02-04,11.9,-1.8,3.9,0.0,0.0,0.0,0.0,14.1,30.6,1,33373.6,36817.85
2019-02-05,17.6,0.7,7.5,0.0,0.0,0.0,0.0,17.4,29.9,3,31915.86,36955.05
2019-02-06,7.1,-1.3,3.0,9.9,9.9,0.0,6.0,17.0,31.0,63,27012.72,37093.02
2019-02-07,7.8,2.4,5.0,5.1,5.1,0.0,5.0,15.6,27.0,61,3400.59,37231.61
2019-02-08,11.2,-0.9,5.4,9.0,9.0,0.0,12.0,33.3,61.6,61,17612.41,37371.16
2019-02-09,0.6,-5.2,-3.0,0.0,0.0,0.0,0.0,31.8,62.3,2,34118.37,37512.93
2019-02-10,2.8,-6.2,-2.2,0.0,0.0,0.0,0.0,13.2,28.1,3,34271.85,37656.82
2019-02-11,2.8,-2.0,-0.0,0.3,0.0,0.21,3.0,11.6,23.0,71,12777.81,37802.67
2019-02-12,0.9,-2.8,-1.3,16.4,10.9,3.85,16.0,26.7,49.3,75,0.0,37950.3
2019-02-13,5.7,-1.8,2.0,2.2,2.2,0.0,4.0,34.9,63.7,53,21005.38,38099.58
2019-02-14,7.1,-3.0,1.5,0.0,0.0,0.0,0.0,19.6,39.2,3,34822.73,38250.33
2019-02-15,13.0,2.8,8.3,0.3,0.3,0.0,3.0,25.2,42.1,51,22442.48,38402.41
2019-02-16,5.8,-2.3,1.8,0.0,0.0,0.0,0.0,20.6,45.0,3,34997.9,38555.66
2019-02-17,2.3,-5.4,-1.2,1.1,1.1,0.0,3.0,14.8,31.3,53,35076.93,38709.95
2019-02-18,6.4,-3.8,0.9,4.0,2.7,0.91,9.0,29.0,55.1,73,10243.74,38865.12
2019-02-19,2.4,-5.6,-2.4,0.0,0.0,0.0,0.0,19.5,36.0,3,35339.56,39021.04
2019-02-20,-0.8,-4.2,-2.7,12.0,4.1,5.53,13.0,16.3,47.9,75,0.0,39177.56
2019-02-21,11.3,-0.1,4.4,3.7,3.7,0.0,4.0,19.8,38.9,61,35080.43,39334.55
2019-02-22,7.0,-0.4,3.1,0.0,0.0,0.0,0.0,17.3,34.2,3,27432.9,39491.88
2019-02-23,4.6,-2.5,1.1,1.5,1.5,0.0,3.0,11.9,24.8,53,20485.7,39649.42
2019-02-24,9.4,2.1,6.4,19.9,19.9,0.0,13.0,35.5,68.8,63,1091.64,39807.03
2019-02-25,5.0,-3.0,1.7,0.0,0.0,0.0,0.0,44.6,82.4,3,33542.79,39964.58
2019-02-26,3.0,-4.8,-2.1,0.0,0.0,0.0,0.0,25.3,50.8,3,36472.96,40121.95
2019-02-27,-1.7,-5.5,-3.7,0.5,0.0,0.35,4.0,18.3,36.7,71,14046.06,40279.02
2019-02-28,2.7,-4.2,-1.1,0.3,0.0,0.21,2.0,26.1,51.5,71,34680.77,40436.11
2019-03-01,2.8,-3.5,-0.6,2.1,0.0,1.47,6.0,13.3,26.3,73,7248.83,40594.44
2019-03-02,3.7,-1.0,1.3,9.5,0.0,6.72,9.0,18.4,33.8,75,25391.91,40753.93
2019-03-03,5.7,-0.9,1.9,10.0,0.3,6.79,7.0,14.5,28.1,75,28063.99,40914.49
2019-03-04,2.3,-5.7,-0.2,16.1,0.0,11.27,6.0,21.3,38.2,75,31227.24,41075.97
2019-03-05,-1.6,-14.6,-6.2,0.0,0.0,0.0,0.0,19.0,34.2,2,37628.05,41238.26
2019-03-06,-3.0,-9.8,-6.0,0.0,0.0,0.0,0.0,26.0,51.1,3,29823.71,41401.25
2019-03-07,0.6,-9.2,-4.5,0.0,0.0,0.0,0.0,26.3,51.5,3,32797.89,41564.82
2019-03-08,2.6,-7.2,-2.0,0.0,0.0,0.0,0.0,14.3,29.5,3,34844.63,41728.84
2019-03-09,8.2,-4.1,1.4,0.0,0.0,0.0,0.0,13.0,23.8,3,38169.29,41893.22
2019-03-10,7.8,1.1,3.6,14.0,11.1,2.03,10.0,24.2,46.8,75,0.0,42057.83
2019-03-11,10.6,2.0,6.3,0.0,0.0,0.0,0.0,26.0,49.7,3,38610.58,42222.57
2019-03-12,5.0,-1.5,1.7,0.0,0.0,0.0,0.0,25.0,49.0,3,38898.82,42387.31
2019-03-13,6.6,-4.9,1.7,0.0,0.0,0.0,0.0,17.2,33.5,3,33571.29,42551.96
2019-03-14,11.1,0.8,6.8,0.0,0.0,0.0,0.0,21.5,40.3,3,38560.82,42716.4
2019-03-15,21.8,9.8,15.3,20.4,20.4,0.0,7.0,29.4,53.3,65,17998.09,42880.52
2019-03-16,10.3,1.7,6.6,0.0,0.0,0.0,0.0,29.9,57.2,3,37108.74,43044.21
2019-03-17,5.9,-2.0,1.7,0.0,0.0,0.0,0.0,20.0,40.0,2,40026.87,43207.36
2019-03-18,7.1,-4.1,1.5,0.0,0.0,0.0,0.0,16.9,34.9,3,35062.98,43369.86
2019-03-19,8.0,-3.2,2.6,0.0,0.0,0.0,0.0,16.2,33.5,3,32147.55,43531.59
2019-03-20,9.9,-1.5,4.1,0.0,0.0,0.0,0.0,24.6,47.2,3,39737.39,43692.88
2019-03-21,8.6,3.0,5.9,18.3,18.3,0.0,20.0,25.9,51.8,63,0.0,43854.82
2019-03-22,9.3,2.7,5.8,13.2,13.2,0.0,14.0,37.7,68.8,63,13580.49,44017.36
2019-03-23,8.4,-0.2,3.7,0.3,0.0,0.21,3.0,34.2,62.6,71,31687.92,44180.42
2019-03-24,13.3,-1.4,6.5,0.0,0.0,0.0,0.0,20.8,39.2,3,28146.08,44343.9
2019-03-25,9.1,3.0,7.6,1.1,1.1,0.0,5.0,17.6,36.4,51,3276.7,44507.68
2019-03-26,7.9,-2.5,2.8,0.0,0.0,0.0,0.0,21.8,42.5,1,41493.85,44671.69
2019-03-27,6.4,-2.6,1.9,0.0,0.0,0.0,0.0,15.8,33.1,3,41656.98,44835.8
2019-03-28,8.8,-2.5,4.1,0.0,0.0,0.0,0.0,24.9,48.2,3,39910.41,44999.93
2019-03-29,12.6,5.0,9.1,0.8,0.8,0.0,5.0,12.2,25.6,51,921.16,45163.97
2019-03-30,16.2,6.8,11.4,0.0,0.0,0.0,0.0,29.7,54.7,3,33658.74,45327.82
2019-03-31,17.6,3.5,10.2,4.6,4.6,0.0,5.0,26.4,52.9,61,19279.57,45491.37
2019-04-01,7.4,-0.9,3.0,0.0,0.0,0.0,0.0,31.3,59.4,3,42467.27,45654.52
2019-04-02,8.7,-2.0,4.2,1.0,1.0,0.0,6.0,23.7,47.9,51,28598.75,45817.16
2019-04-03,16.5,2.1,9.6,0.5,0.5,0.0,3.0,38.5,71.3,51,42786.98,45979.19
2019-04-04,13.4,2.0,7.7,0.0,0.0,0.0,0.0,27.1,53.6,3,42945.48,46140.5
2019-04-05,5.3,1.5,3.6,7.3,7.3,0.0,14.0,15.7,31.0,61,1656.07,46300.98
2019-04-06,20.0,3.6,10.1,0.2,0.2,0.0,2.0,21.1,41.0,51,39557.13,46460.52
2019-04-07,16.1,4.2,10.5,0.0,0.0,0.0,0.0,18.5,38.2,3,36196.37,46619.0
2019-04-08,24.2,8.6,15.8,12.6,12.6,0.0,8.0,23.6,57.6,63,24721.92,46776.31
2019-04-09,12.2,4.4,8.6,0.9,0.9,0.0,2.0,21.0,50.0,53,36397.97,46932.74
2019-04-10,14.2,4.3,9.0,0.0,0.0,0.0,0.0,24.3,48.2,3,43200.0,47089.33
2019-04-11,10.4,2.7,6.3,0.0,0.0,0.0,0.0,14.1,28.1,3,36565.94,47246.04
2019-04-12,18.6,6.2,12.2,15.2,15.2,0.0,9.0,31.0,56.5,63,22271.96,47402.77
2019-04-13,23.0,14.1,17.5,12.6,12.6,0.0,9.0,22.5,46.8,63,22158.37,47559.43
2019-04-14,18.5,10.9,15.2,1.9,1.9,0.0,5.0,25.6,43.6,55,22183.88,47715.9
2019-04-15,18.5,7.2,13.4,15.0,15.0,0.0,10.0,37.6,81.0,63,29649.22,47872.08
2019-04-16,17.0,5.1,10.9,0.3,0.3,0.0,1.0,28.1,54.4,51,43705.63,48027.87
2019-04-17,14.9,7.8,10.4,0.4,0.4,0.0,1.0,20.8,38.2,51,36000.0,48183.14
2019-04-18,16.6,8.6,12.5,1.7,1.7,0.0,8.0,24.2,47.9,53,14400.0,48337.8
2019-04-19,23.6,15.4,18.5,5.4,5.4,0.0,10.0,32.4,58.7,63,32775.27,48491.73
2019-04-20,17.7,11.4,15.4,11.8,11.8,0.0,13.0,31.8,73.1,61,360.09,48644.81
2019-04-21,16.9,9.9,13.3,0.3,0.3,0.0,2.0,20.9,41.0,51,35473.65,48796.92
2019-04-22,17.0,9.5,13.4,8.1,8.1,0.0,15.0,22.9,43.9,61,14815.11,48947.95
2019-04-23,22.8,9.8,15.8,0.2,0.2,0.0,2.0,21.9,42.5,51,43296.33,49097.76
2019-04-24,19.5,10.1,16.0,0.0,0.0,0.0,0.0,20.9,43.9,3,44698.35,49246.24
2019-04-25,16.2,7.5,11.4,1.9,1.9,0.0,6.0,17.0,36.0,53,32403.16,49393.25
2019-04-26,16.6,10.2,13.4,18.9,18.9,0.0,21.0,28.9,58.3,61,5904.13,49538.66
2019-04-27,12.1,7.4,10.1,3.1,3.1,0.0,4.0,38.2,72.7,61,35685.02,49682.34
2019-04-28,10.8,5.8,8.5,1.9,1.9,0.0,6.0,18.9,36.0,55,9822.66,49824.16
2019-04-29,13.1,3.1,8.5,0.9,0.9,0.0,2.0,18.3,36.7,53,38090.4,49964.36
2019-04-30,18.9,8.6,12.1,3.7,3.7,0.0,6.0,15.0,31.7,55,13472.75,50103.94
2019-05-01,12.4,8.8,10.6,1.7,1.7,0.0,6.0,18.8,38.2,53,88.17,50242.86
2019-05-02,23.9,10.2,14.7,5.7,5.7,0.0,7.0,19.6,44.3,61,39169.56,50381.0
2019-05-03,14.1,9.5,11.5,1.1,1.1,0.0,4.0,12.7,25.6,51,0.0,50518.27
2019-05-04,20.6,10.8,14.9,9.6,9.6,0.0,11.0,8.3,19.1,61,19398.42,50654.52
2019-05-05,13.3,10.9,12.0,32.3,32.3,0.0,24.0,24.5,44.6,63,0.0,50789.64
2019-05-06,20.5,9.4,14.0,0.2,0.2,0.0,2.0,18.5,33.5,51,40686.59,50923.5
2019-05-07,19.1,10.2,14.4,4.3,4.3,0.0,5.0,18.9,39.6,61,45192.72,51055.99
2019-05-08,19.4,10.1,14.2,0.0,0.0,0.0,0.0,16.8,33.1,3,35886.93,51186.98
2019-05-09,15.2,9.4,12.0,0.1,0.1,0.0,1.0,21.4,42.1,51,18233.76,51316.32
2019-05-10,22.6,12.1,17.8,2.3,2.3,0.0,6.0,21.4,40.7,53,16369.52,51443.89
